Collection_Code,Formula,Prototype
610034,CoAs2,Marcasite#FeS2(oP6)
38716,YNi2,TmNi2
104568,TbIr2,Laves(cub)#MgCu2
624391,NdCo2,Laves(cub)#MgCu2
202837,CrO2,Rutile#TiO2
417907,InPd2,Co2Si
52281,Co2Si,TiNiSi#MgSrSi
167965,TiO2,Rutile#TiO2
24317,TaSe2,TaSe2
615164,BPd2,Fe2C
180898,SiO2,Cristobalite#SiO2
104540,PrIr2,Laves(cub)#MgCu2
77029,Ho2C,CdCl2(3R)
652549,Si2W,CrSi2
56781,DyBr2,SrI2
150663,DySi2,ThSi2
102643,Sc2Co,CuAl2
634800,NdGa2,AlB2
246907,VI2,CdI2(hP3)
633809,TbFe2,Laves(cub)#MgCu2
199305,PuIr2,Laves(cub)#MgCu2
36707,ZrO2,Baddeleyite#ZrO2(mP12)
648288,P2W,MoP2
620120,LuCd2,Cd2Ce
87457,HfO2,HfO2
50469,Ca2Rh,Sr2IrH5+x
634155,ZrFe2,Laves(cub)#MgCu2
414229,BaIn2,CeCu2
123100,ZrO2,Zirconia#ZrO2(HT)
56018,NbO2,Rutile#TiO2
102870,CsK2,Laves(2H)#MgZn2
632242,HfFe2,Laves(2H)#MgZn2
252741,CaC2,CaC2-I(I4/mmm)
182916,Ag2S,Ag2S(LT)
636024,GdNi2,Laves(cub)#MgCu2
649828,VPt2,MoPt2
630441,ErFe2,Laves(cub)#MgCu2
252755,CaC2,CaC2-III(C12/m1)
34851,NiAs2,NiAs2
620652,CeCo2,Laves(cub)#MgCu2
636030,GdNi2,Laves(cub)#MgCu2
37380,CdI2,CdI2(hP30)
196977,ThAs2,PrOI
16428,CO2,CO2(cP12)
5433,CrI2,HgI2(oS12)
56024,Na2S,Fluorite#CaF2
645948,NdSi2,GdSi1.4
637460,GeO2,Rutile#TiO2
647839,ThOs2,Laves(cub)#MgCu2
651083,TaS2,MoS2(3R)
42737,P2Ru,Marcasite#FeS2(oP6)
100083,LaC2,CaC2-I(I4/mmm)
198972,GdAu2,AlCr2#MoSi2
102694,TbCo2,Laves(cub)#MgCu2
252769,CaC2,CaC2-II(C12/c1)#ThC2
42723,FeAs2,Marcasite#FeS2(oP6)
410701,EuIr2,Laves(cub)#MgCu2
166474,NiS2,Pyrite#FeS2(cP12)
608684,Nb2Al,U#Cr0.49Fe0.51
409536,Cs2P,Rb2PH
56030,TbGe2,TbGe2
105306,Ni2P,ZrNiAl#Fe2P
39178,SnO2,Rutile#TiO2
646702,SmNi2,Laves(cub)#MgCu2
101160,TmC2,CaC2-I(I4/mmm)
656511,FeS2,Pyrite#FeS2(cP12)
621941,CeRh2,Laves(cub)#MgCu2
245942,SiO2,Si64O128(tI192)
108144,MgNi2,Laves(4H)#MgNi2
411190,CaC2,CaC2-III(C12/m1)
646064,NdZn2,CeCu2
67004,ZrO2,ZrO2(oP12)
612435,TmAu2,AlCr2#MoSi2
642216,Li2O,Fluorite#CaF2
198225,HfAl2,Laves(2H)#MgZn2
623824,HoCo2,Laves(cub)#MgCu2
633389,FeSb2,Marcasite#FeS2(oP6)
153154,SbO2,Cervantite#Sb2O4
72435,Te2Au,AuTe2
197658,Mo2C,hcp(filled)#Nb2N
642558,LuRu2,Laves(2H)#MgZn2
612409,TiAu2,AlCr2#MoSi2
190889,Te2Ir,BaSi2#EuGe2
42290,CdI2,CdI2(hP57)
628781,CuS2,Marcasite#FeS2(oP6)
609997,CeAs2,NdAs2
32777,HfO2,ZrO2(oP12)
280388,HfV2,NdCo2
42284,CdI2,CdI2(hP30)
617565,DyC2,CaC2-I(I4/mmm)
626960,ZrCr2,Laves(cub)#MgCu2
76121,NiSb2,Marcasite#FeS2(oP6)
103987,ThGa2,ThSi2
154607,TiO2,Anatase#TiO2
36263,MoO2,MoO2#VO2
656539,ZrH2,ThH2
43617,TiSe2,CdI2(hP3)
88200,D2Mg,Rutile#TiO2
621982,CeRu2,Laves(cub)#MgCu2
292001,HoGa2,AlB2
168673,TbSn2,ZrSi2
23685,YbC2,CaC2-I(I4/mmm)
108187,Tb2C,Sr2N
636554,Hf2Ge,FeSn2
618871,TbC2,CaC2-I(I4/mmm)
142924,TiO2,Rutile#TiO2
58223,YbAl2,Laves(cub)#MgCu2
604280,ZrH2,ThH2
643875,YMn2,Laves(cub)#MgCu2
199846,UIr2,Laves(cub)#MgCu2
18161,ThFe2,ThCr2Si2#CeAl2Ga2#BaAl4
418163,Cr2B,Mg2Cu
15445,ThZn2,SmNiSb
248527,CaSi2,ThSi2
646925,ThNi2,AlB2
638551,ZrH2,ThH2
281041,Ag2O,Cuprite#Cu2O
81218,NbAs2,OsGe2
42253,CdI2,CdI2(hP12)
631213,ErZn2,CeCu2
638545,YbH2,Fluorite#CaF2
621014,CeFe2,Laves(cub)#MgCu2
42247,CdI2,CdI2(hP45)
629448,YbCu2,Laves(2H)#MgZn2
35971,PbO2,CaCl2
42521,YO2,Bixbyite#Mn2-xO3
184195,NdMn2,Mn2ZrHx-frame#MgZn2
76684,NiS2,Pyrite#FeS2(cP12)
172165,HfO2,Baddeleyite#ZrO2(mP12)
625514,UCo2,Laves(cub)#MgCu2
248533,CaSi2,ThSi2
652603,YbSi2,AlB2
230517,ZrB2,AlB2
604445,DyAl2,Laves(cub)#MgCu2
197710,PuO2,Fluorite#CaF2
649223,PrRh2,Laves(cub)#MgCu2
16951,GeS2,SiS2
198345,TbPt2,Laves(cub)#MgCu2
58380,YbAg2,CeCu2
759742,SnO2,CaCl2
28673,AlAs2,Li3AlP2
103171,DyFe2,Laves(cub)#MgCu2
230265,GeO2,Rutile#TiO2
31322,TiO2,Rutile#TiO2
759756,SnO2,CaCl2
58394,BaAu2,SmNiSb
651478,ZrS2,CdI2(hP3)
619400,CaMg2,Laves(2H)#MgZn2
618078,HoC2,CaC2-I(I4/mmm)
197704,Pu2Co,ZrNiAl#Mg2In
105266,NdNi2,Laves(cub)#MgCu2
604451,CeAl2,Laves(cub)#MgCu2
154997,PbF2,Cotunnite#PbCl2
602020,CeNi2,Laves(cub)#MgCu2
646892,NiTe2,BaSi2#EuGe2
25419,Te2Mo,MoS2(4H)
150501,Th2Cu,CuAl2
26110,MoCl2,Mo6Cl12
152316,MoO2,MoO2#VO2
186621,FeSb2,Marcasite#FeS2(oP6)
103159,DyMg2,Laves(2H)#MgZn2
650996,SnS2,CdI2(hP3)
44795,CdI2,CdI2(hP18)
9194,CdI2,CdI2(hP24)
150273,NbS2,"(Sm,Sr)3Nb2S7"
199073,CdAs2,CdAs2
236628,EuAg2,CeCu2
230259,EuGe2,EuGe2#PtTe2
413803,Ca2In,Co2Si
643726,SmMn2,Laves(2H)#MgZn2
186635,FeSb2,Marcasite#FeS2(oP6)
420577,CaCd2,Laves(2H)#MgZn2
646886,TbNi2,Laves(cub)#MgCu2
611706,CeAu2,CeCu2
150515,ScOs2,Laves(2H)#MgZn2
643915,YMn2,Laves(cub)#MgCu2
93032,ZrO2,Zirconia#ZrO2(HT)
412248,Eu2Si,TiNiSi#MgSrSi
104811,LuPb2,CuZr2
634223,GdGa2,AlB2
759781,MgF2,CaCl2
260485,ErFe2,H4-xErFe2
636434,GdSi2,GdSi1.4
639707,HoSe2,PrOI
7146,HfO2,Zirconia#ZrO2(HT)
151192,TaSi2,CrSi2
607825,GdAl2,Laves(cub)#MgCu2
630051,DyOs2,Laves(2H)#MgZn2
634551,LuGa2,CeCu2
55115,Rb2Te,Fluorite#CaF2
646879,TbNi2,Laves(cub)#MgCu2
626155,HfCr2,Laves(cub)#MgCu2
197937,CeNi2,MgCu2(filled)-frame
60186,PbI2,CdI2(hP36)
245611,CaGe2,CdI2(hP6)
623763,Hf2Co,Ti2Ni
415269,PbO2,PbO2#Fe2N.94
623777,HfCo2,Laves(cub)#MgCu2
104839,Mg2Ni,Mg2Ni
10313,CrSe2,CdI2(hP3)
607819,GdAl2,Laves(cub)#MgCu2
55129,Rb2Te,Ni2In#Co1.75Ge
647583,UO2,Fluorite#CaF2
42455,Ca2Ge,TiNiSi#MgSrSi
247774,MnPd2,Co2Si
250208,Zr2Se,Ta2P
633202,PuFe2,Laves(cub)#MgCu2
102079,TmCd2,Cd2Ce
58182,ThAl2,Laves(cub)#MgCu2
197274,ZrGa2,ZrGa2
644505,ZrMo2,Laves(cub)#MgCu2
653079,TiTe2,CdI2(hP3)
23530,Sr2N,Sr2N
649747,Te2Pt,EuGe2#PtTe2
158363,SnPd2,Co2Si
1090,D2Ca,Cotunnite#PbCl2
625689,ZrCo2,Laves(cub)#MgCu2
37223,P2W,MoP2
105070,MoPt2,MoPt2
643518,Mn2Sb,Cu2Sb
67400,Cr2N,V2N
645169,NbP2,OsGe2
31646,USi2,AlB2
608069,HfAl2,Laves(2H)#MgZn2
650202,YRe2,Laves(2H)#MgZn2
659226,ZrO2,Baddeleyite#ZrO2(mP12)
610140,Cr2As,Cu2Sb
198153,UB2,AlB2
197260,MnAu2,AlCr2#MoSi2
40901,SiO2,SiO2(C2221)
644511,ZrMo2,Laves(cub)#MgCu2
24263,PbI2,CdI2(hP6)
629931,DyMn2,Laves(cub)#MgCu2
39554,B2Mo,CaSi2(hR6)
41389,PtSe2,BaSi2#EuGe2
104352,ThHg2,CaIn2
603114,TmCu2,CeCu2
645141,NbO2,Rutile#TiO2
638182,HfV2,MgCu2(filled)-frame
607372,ErAl2,Laves(cub)#MgCu2
81813,ReSe2,ReSe2
607366,ErAl2,Laves(cub)#MgCu2
106551,VSn2,Mg2Cu
89283,SiO2,Quartz(low)#SiO2
42694,CdI2,CdI2(hR36)
104346,SrHg2,SmNiSb
38138,KO2,KO2
60435,Na2O,Fluorite#CaF2
104420,HoMn2,Laves(cub)#MgCu2
56187,TmH2,Fluorite#CaF2
24277,TiO2,Rutile#TiO2
638828,Hf2Rh,Ti2Ni
106237,ZrZn2,Laves(cub)#MgCu2
151384,Al2Cu,Hg2Pt
42119,Sr2Sb,La2Sb
631159,ErSi2,AlB2
611289,As2Ru,Marcasite#FeS2(oP6)
622643,DyCo2,Laves(cub)#MgCu2
36698,ZrO2,Baddeleyite#ZrO2(mP12)
246898,CrO2,Rutile#TiO2
254244,CaF2,Fluorite#CaF2
34931,SiO2,Cristobalite#SiO2
52478,YSi2,AlB2
31685,GeS2,GeS2
56178,ThH2,ThH2
105931,SnRh2,Co2Si
103398,EuIn2,CaIn2
169627,TiO2,Rutile#TiO2
6066,CdI2,CdI2(hP18)
198806,Ti2Co,Ti2Ni
51159,RuO2,Rutile#TiO2
66939,RuO2,PdF2(cP12)
609388,SmAl2,Laves(cub)#MgCu2
182692,Mg2Si,Laves(cub)#MgCu2
53982,CdF2,Fluorite#CaF2
416562,Ba2Sn,TiNiSi#MgSrSi
169633,TiO2,Rutile#TiO2
52322,TiSb2,CuAl2
201245,VF2,Rutile#TiO2
150957,Mg2Sn,Fluorite#CaF2
198691,Ti2Cu,CuZr2
58132,Al2Pt,Fluorite#CaF2
53067,CoS2,Pyrite#FeS2(cP12)
43274,EuGe2,EuGe2#PtTe2
108296,HoCo2,Laves(cub)#MgCu2
15026,P2Pt,Pyrite#FeS2(cP12)
622624,DyCo2,Laves(cub)#MgCu2
165720,CeO2,Fluorite#CaF2
186493,CeO2,Fluorite#CaF2
198875,Y2Al,Co2Si
66786,ZrO2,Zirconia#ZrO2(HT)
77853,UP2,UP2#UAs2
189978,PbO2,MnO2
631116,ErSe2,PrOI
94276,MgF2,Rutile#TiO2
633701,SmFe2,Laves(cub)#MgCu2
104484,LaIr2,Laves(cub)#MgCu2
40755,TeO2,SnF2
174177,MgCu2,Laves(cub)#MgCu2
624269,NbCo2,Laves(cub)#MgCu2
169640,TiO2,Rutile#TiO2
629995,DyNi2,Laves(cub)#MgCu2
121638,TiO2,Anatase#TiO2
80571,NbS2,NbS2(SmS)1.19_misfit(NbS2_part)
103499,HoFe2,Laves(cub)#MgCu2
59562,Tm2In,Ni2In#Co1.75Ge
241174,HgI2,HgI2
155807,MgH2,Rutile#TiO2
29085,UO2,Fluorite#CaF2
58697,Be2Cr,Laves(2H)#MgZn2
66779,ZrSb2,TiAs2
35447,CdI2,CdI2(hP27)
649052,TiPd2,AlCr2#MoSi2
633926,TiFe2,Laves(2H)#MgZn2
634091,YFe2,Laves(cub)#MgCu2
624282,NbCo2,Laves(cub)#MgCu2
152629,ZrMn2,Mn2ZrHx-frame#MgZn2
634085,YFe2,Laves(cub)#MgCu2
609462,TbAl2,Laves(cub)#MgCu2
609304,ScAl2,Laves(cub)#MgCu2
616224,Be2Cr,Laves(2H)#MgZn2
619117,YC2,CaC2-I(I4/mmm)
646413,NiSb2,Marcasite#FeS2(oP6)
183500,CdF2,Fluorite#CaF2
68740,MnF2,Rutile#TiO2
58683,BaZn2,CeCu2
77648,PbO2,Fluorite#CaF2
189763,CeGa2,AlB2
104447,HoRh2,Laves(cub)#MgCu2
608754,Nd2Al,Co2Si
647057,YNi2,Laves(cub)#MgCu2
24204,NiAs2,NiAs2
72042,TiS2,Ti2C
29046,CeO2,Fluorite#CaF2
642,SrS2,SrS2
167447,ZrCr2,Laves(cub)#MgCu2
607842,GdAl2,Laves(cub)#MgCu2
632621,Fe2Mo,Laves(2H)#MgZn2
48123,Re2P,Re2P
639012,HfW2,Laves(cub)#MgCu2
243549,MoO2,WO2
626132,ZrCr2,MgCu2(filled)-frame
621885,CePt2,Laves(cub)#MgCu2
626126,TiCr2,Mn2ZrHx-frame#MgZn2
54278,TbMn2,Laves(cub)#MgCu2
605927,Th2Ag,CuAl2
37085,Mo2C,Fe2N-zeta
93733,AlO2,FeOOH
645495,NbSn2,Mg2Cu
44725,UB2,AlB2
639748,HoSi2,AlB2
44043,As2Pd,Pyrite#FeS2(cP12)
652857,ZrSn2,TiSi2
92363,TiO2,Anatase#TiO2
197944,HfB2,AlB2
246419,CrCl2,CaCl2
49573,CdI2,CdI2(hP33)
257514,SiO2,Rutile#TiO2
419346,CeS2,CeSe2
108916,CdI2,CdI2(hP15)
41649,BaF2,Fluorite#CaF2
625375,TbCo2,Laves(cub)#MgCu2
236840,LaC2,CaC2-I(I4/mmm)
198336,HfCr2,Laves(2H)#MgZn2
20248,DySi2,AlB2
609674,YbAl2,Laves(cub)#MgCu2
637942,SrGe2,BaSi2(oP24)
650701,TbRu2,Laves(2H)#MgZn2
156881,D2Ca,Cotunnite#PbCl2
122866,Mg2Si,Fluorite#CaF2
230564,CaGe2,ZrCl(filled)#SmSI
67665,ClO2,ClO2
154728,NdCo2,Laves(cub)#MgCu2
122872,Mg2Sn,Fluorite#CaF2
58481,HoAu2,AlCr2#MoSi2
262550,EuAl2,H8Al2Eu
65700,W2C,W2C1-x
609660,YAl2,Laves(cub)#MgCu2
652102,USe2,Cotunnite#PbCl2
403487,ZrO2,Baddeleyite#ZrO2(mP12)
647241,OsO2,Rutile#TiO2
651423,YbS2,PrOI
197039,HfCr2,Laves(4H)#MgNi2
26605,NiF2,Rutile#TiO2
104123,Gd2Pt,TiNiSi#MgSrSi
643741,Mn2Sn,Ni2In#Co1.75Ge
615507,TaB2,AlB2
106734,NdGa2,AlB2
193539,CaSi2,CaSi2(hR3)
100345,SiO2,Quartz(low)#SiO2
647527,ThO2,Fluorite#CaF2
27269,CdI2,CdI2(hP27)
105229,NbSn2,Mg2Cu
251818,ThPt2,La2Sb
643033,NdMn2,Laves(2H)#MgZn2
650729,ThRu2,Laves(cub)#MgCu2
626867,TaCr2,Laves(cub)#MgCu2
629413,TmCu2,CeCu2
156936,ErMn2,Mn2ZrHx-frame#MgZn2
43102,Sb2Pd,Pyrite#FeS2(cP12)
58244,AmO2,Fluorite#CaF2
174229,P2Ir,FeAsS#CoSb2
60903,HfO2,Baddeleyite#ZrO2(mP12)
27490,CrCl2,CaCl2
16895,Co2C,Fe2C
51260,Dy2Te,Sc2Te
259465,SnO2,Rutile#TiO2
43664,MnB2,AlB2
638278,LuH2,Fluorite#CaF2
606396,CeAl2,Laves(cub)#MgCu2
636255,GdRh2,Laves(cub)#MgCu2
616185,Be2C,Fluorite#CaF2
621729,CeOs2,Laves(cub)#MgCu2
43670,Nb2C,CdI2(hP3)
91736,SiO2,SiO2(mP24)
615498,TaB2,AlB2
59628,GeO2,Quartz(low)#SiO2
18112,SiO2,Coesite#SiO2
259471,Al2Pt,Fluorite#CaF2
246237,SrGa2,SrGa2
612491,YbAu2,AlCr2#MoSi2
91050,SrC2,CaC2-I(I4/mmm)
291209,SiS2,SiS2(Ibam)
58278,HoAg2,AlCr2#MoSi2
41729,NiAs2,NiAs2
42220,CdI2,CdI2(hP27)
609099,PrAl2,Laves(cub)#MgCu2
647490,TaO2,NbO2
247667,D2Er,Fluorite#CaF2
259459,SnO2,Rutile#TiO2
625567,YCo2,Laves(cub)#MgCu2
247673,D2Er,Fluorite#CaF2
652937,TaZn2,Laves(2H)#MgZn2
103937,PuGa2,AlB2
72491,Mg2Ru,Mg2RuHx-frame
42234,CdI2,CdI2(hP36)
96703,MgB2,AlB2
201140,NO2,N2O4
623843,HoCo2,Laves(cub)#MgCu2
641778,LaRu2,Laves(cub)#MgCu2
650675,SmRu2,Laves(cub)#MgCu2
44876,PrH2,Fluorite#CaF2
636296,GdRu2,Laves(2H)#MgZn2
650113,ReSi2,AlCr2#MoSi2
635947,GdMn2,Laves(cub)#MgCu2
103704,YbFe2,Laves(cub)#MgCu2
68436,Ag2F,Ag2F
635953,GdMn2,Laves(cub)#MgCu2
614745,Mn2B,CuAl2
612334,Sm2Au,Co2Si
625598,YCo2,Laves(cub)#MgCu2
609072,PrAl2,Laves(cub)#MgCu2
75301,SiO2,Cristobalite#SiO2
650107,ReSi2,AlCr2#MoSi2
630195,DyS2,PrOI
621098,CeGa2,AlB2
198256,GdRu2,Laves(cub)#MgCu2
105349,SmNi2,Laves(cub)#MgCu2
653426,ZrV2,Laves(cub)#MgCu2
424602,YbH2,Cotunnite#PbCl2
638287,MgH2,PbO2#Fe2N.94
43857,SnSe2,CdI2(hP3)
638293,Mg2Ni,Mg2NiHx
36210,BaI2,ZrNiAl#Fe2P
76634,Si2Ni,Fluorite#CaF2
199612,VSi2,CrSi2
645536,NbTe2,NbTe2
106132,Tb2Tl,Ni2In#Co1.75Ge
426767,SmSn2,UGe2
618625,PaC2,CaC2-I(I4/mmm)
290467,CeO2,Fluorite#CaF2
252732,CaC2,CaC2-I(I4/mmm)
647876,ZrOs2,Laves(2H)#MgZn2
102803,PdPb2,CuAl2
622744,ErCo2,Laves(cub)#MgCu2
198083,VO2,Rutile#TiO2
83642,Te2Pd,EuGe2#PtTe2
639402,HoMn2,Laves(cub)#MgCu2
281218,SiO2,Ferrierite(oP)-frame#Si36O72
35282,CuP2,CuP2
55576,ScZn2,Laves(2H)#MgZn2
17023,PrC2,CaC2-I(I4/mmm)
252726,CaC2,CaC2-I(I4/mmm)
630432,ErFe2,Laves(cub)#MgCu2
647862,OsW2,U#Cr0.49Fe0.51
251207,YbBr2,PbO2#Fe2N.94
258545,Mg2Sn,Fluorite#CaF2
647692,ZrO2,Zirconia#ZrO2(HT)
73599,Si2W,AlCr2#MoSi2
90164,D2Zr,ThH2
631062,ErS2,PrOI
56057,HoH2,Fluorite#CaF2
76387,Nb2N,hcp(filled)#Nb2N
625017,Co2Si,Co2Si
102181,CeHg2,CaHg2
82574,NbSe2,HxNbSe2(hP6)
197398,TiFe2,Laves(2H)#MgZn2
281224,SiO2,Ferrierite(oP)-frame#Si36O72
649873,Yb2Pt,TiNiSi#MgSrSi
42988,Zr2Se,Ta2P
251213,YbBr2,CaCl2
77700,UO2,Fluorite#CaF2
180169,HoMn2,MgCu2(filled)-frame
150638,SmC2,CaC2-I(I4/mmm)
262632,Ag2S,Ag2S(LT)
659335,HoCu2,CeCu2
106318,Be2Fe,Laves(2H)#MgZn2
652274,SmSi2,ThSi2
641208,Zr2Ir,Ti2Ni
32248,FeSe2,Marcasite#FeS2(oP6)
646567,Si2Ni,Fluorite#CaF2
77714,Zr2O,Cuprite#Cu2O
615881,BaGe2,BaSi2(oP24)
197401,ZrMo2,Laves(cub)#MgCu2
15807,Ti2Cu,CuZr2
235756,GdCo2,Laves(cub)#MgCu2
104255,Hf2Pd,CuZr2
645046,Na2Te,Fluorite#CaF2
180155,HoMn2,MgCu2(filled)-frame
615117,B2Os,RuB2
76344,YGe2,ThSi2
173963,ZrO2,HfO2
100755,SiO2,Coesite#SiO2
408698,RbHg2,CeCu2
192223,CeO2,Fluorite#CaF2
157619,ZrO2,Zirconia#ZrO2(HT)
409586,Sc2Sb,Cu2Sb
51937,TiO2,Rutile#TiO2
56080,PrH2,Fluorite#CaF2
66625,Te2Au,AuTe2
102630,PuCo2,Laves(cub)#MgCu2
410969,In2Ir,Mg2Cu
199377,CeIr2,Laves(cub)#MgCu2
51936,TiO2,Rutile#TiO2
198069,UC2,CaC2-I(I4/mmm)
409587,Ce2Sb,La2Sb
157618,ZrO2,Zirconia#ZrO2(HT)
410968,ZrIn2,HfGa2
184326,SnO2,Rutile#TiO2
58912,CaMg2,Laves(2H)#MgZn2
680469,BaF2,Fluorite#CaF2
180154,HoMn2,MgCu2(filled)-frame
15806,PbCl2,Cotunnite#PbCl2
44491,ScB2,AlB2
636917,LuGe2,ZrSi2
100754,SiO2,Coesite#SiO2
173962,ZrO2,Fluorite#CaF2
26572,NbGe2,CrSi2
620185,NdCd2,Cd2Ce
609517,Th2Al,CuAl2
638912,Hf2Si,CuAl2
602442,NdAl2,Laves(cub)#MgCu2
105162,NaPt2,Laves(cub)#MgCu2
197400,ZrW2,Laves(cub)#MgCu2
32249,FeSe2,Marcasite#FeS2(oP6)
649899,PuRe2,Laves(2H)#MgZn2
150639,GdC2,CaC2-I(I4/mmm)
610734,As2Ir,FeAsS#CoSb2
180168,HoMn2,MgCu2(filled)-frame
77701,UO2,Fluorite#CaF2
659334,Mg2Cu,Mg2Cu
91284,Li2S,TiNiSi#MgSrSi
281225,SiO2,Ferrierite(oP)-frame#Si36O72
102194,CeIr2,Laves(cub)#MgCu2
105823,TmPt2,Laves(cub)#MgCu2
104283,HfV2,Laves(cub)#MgCu2
251212,YbBr2,CaCl2
623315,GdCo2,Laves(cub)#MgCu2
196939,CeMg2,Laves(cub)#MgCu2
638053,TiGe2,TiSi2
44320,HoB2,AlB2
42751,Sb2Pd,Pyrite#FeS2(cP12)
73598,Si2Mo,AlCr2#MoSi2
99141,PrAl2,Laves(cub)#MgCu2
198900,PtO2,BaSi2#EuGe2
2460,SrSi2,SrSi2
258544,Mg2Sn,Fluorite#CaF2
251206,YbBr2,PbO2#Fe2N.94
623301,GdCo2,Laves(cub)#MgCu2
92772,Na2S,Ni2In#Co1.75Ge
78383,IO2,I2O4
601188,Nb2Al,U#Cr0.49Fe0.51
35283,AgP2,CuP2
281219,SiO2,Ferrierite(oP)-frame#Si36O72
252727,CaC2,CaC2-II(C12/c1)#ThC2
630433,ErFe2,Laves(cub)#MgCu2
102816,Ta2Ni,CuAl2
17022,CeC2,CaC2-I(I4/mmm)
102802,RhPb2,CuAl2
58721,Be2Nb,Laves(cub)#MgCu2
647877,ZrOs2,Laves(2H)#MgZn2
630427,ErFe2,Laves(cub)#MgCu2
252733,CaC2,CaC2-II(C12/c1)#ThC2
108491,PrGa2,AlB2
622745,ErCo2,Laves(cub)#MgCu2
605675,PrAg2,CeCu2
199613,Si2Mo,AlCr2#MoSi2
62898,TeO2,Cristobalite#SiO2
601375,Th2Au,CuAl2
201182,SiO2,Dodecasil-3C-frame
618156,LaC2,CaC2-I(I4/mmm)
653427,ZrV2,Laves(cub)#MgCu2
105348,SmNi2,Laves(cub)#MgCu2
621927,CeRh2,Laves(cub)#MgCu2
75300,SiO2,Cristobalite#SiO2
625599,YCo2,Laves(cub)#MgCu2
68437,Ag2F,Ag2F
198257,GdMg2,Laves(cub)#MgCu2
26758,ZrSi2,ZrSi2
16843,Cu2Sb,Cu2Sb
44877,NdH2,Fluorite#CaF2
418878,CaZn2,Laves(2H)#MgZn2
90398,FeSb2,Marcasite#FeS2(oP6)
623842,HoCo2,Laves(cub)#MgCu2
644167,MoPt2,MoPt2
254183,VO2,CrPS4
652936,TaZn2,Laves(4H)#MgNi2
247672,D2Er,Fluorite#CaF2
201141,NO2,N2O4
638537,YH2,Fluorite#CaF2
42235,CdI2,CdI2(hP36)
42221,CdI2,CdI2(hP27)
403519,UTe2,UTe2
41728,NiSb2,Marcasite#FeS2(oP6)
71833,CuF2,CuF2
40350,Sb2Au,Pyrite#FeS2(cP12)
614977,Ni2B,CuAl2
52754,CaF2,Fluorite#CaF2
199834,Sb2Pd,Pyrite#FeS2(cP12)
59629,GeO2,Quartz(low)#SiO2
91737,SiO2,SiO2(mP24)
98075,BaO2,Ba(OH)2
637638,Ge2Pt,CaCl2
291208,SiS2,SiS2(Ibam)
91051,SrC2,CaC2-II(C12/c1)#ThC2
639615,HoRe2,Laves(2H)#MgZn2
42209,CdI2,CdI2(hP15)
246236,SrGa2,AlB2
16894,Co2N,Fe2C
60902,HfO2,Baddeleyite#ZrO2(mP12)
174228,P2Rh,FeAsS#CoSb2
58245,AmO2,Fluorite#CaF2
156937,ErMn2,Mn2ZrHx-frame#MgZn2
43103,P2Pt,Pyrite#FeS2(cP12)
616184,Be2C,Fluorite#CaF2
621728,CeOs2,Laves(2H)#MgZn2
202306,ThC2,CaC2-II(C12/c1)#ThC2
259464,SnO2,Rutile#TiO2
85756,Si2Mo,AlCr2#MoSi2
27268,CdI2,CdI2(hR18)
30714,Mg2Ni,Mg2Ni
600679,CoS2,Pyrite#FeS2(cP12)
641143,UIr2,Laves(cub)#MgCu2
109374,FeS2,Marcasite#FeS2(oP6)
626866,TaCr2,Laves(2H)#MgZn2
643032,NdMn2,Laves(2H)#MgZn2
155379,Ho2In,Ni2In#Co1.75Ge
199001,PrRe2,Laves(cub)#MgCu2
199015,CrSi2,CrSi2
20275,CaO2,KO2
26604,CoF2,Rutile#TiO2
197038,HfCr2,Laves(cub)#MgCu2
109360,PuGe2,ThSi2
106053,USi2,AlB2
150215,NbS2,"(Sm,Sr)3Nb2S7"
609649,YAl2,Laves(cub)#MgCu2
629599,DyFe2,Laves(cub)#MgCu2
100344,SiO2,Quartz(low)#SiO2
192626,SiO2,Ferrierite(oP)-frame#Si36O72
54292,NdSn2,UGe2
44081,UAs2,UP2#UAs2
197986,SnO2,Rutile#TiO2
20513,MgF2,Rutile#TiO2
616027,BaPd2,Laves(cub)#MgCu2
101072,TiB2,AlB2
610456,FeAs2,Marcasite#FeS2(oP6)
198445,PtSe2,BaSi2#EuGe2
93097,TiO2,Rutile#TiO2
58480,Ho2Au,Co2Si
643768,TbMn2,Laves(2H)#MgZn2
122873,Mg2Sn,Fluorite#CaF2
403486,ZrO2,Baddeleyite#ZrO2(mP12)
650714,Te2Ru,Pyrite#FeS2(cP12)
636491,Gd2Tl,Ni2In#Co1.75Ge
33547,CS2,CS2
609661,YAl2,Laves(cub)#MgCu2
65701,Mo2C,Fe2N-zeta
637957,TaGe2,CrSi2
609675,YbAl2,Laves(cub)#MgCu2
20249,HoSi2,AlB2
199029,VSi2,CrSi2
155351,GdO2,YOOH
181666,D2Zr,Fluorite#CaF2
198337,HfFe2,Laves(2H)#MgZn2
154729,NdCo2,Laves(cub)#MgCu2
67664,ClO2,ClO2
105200,NbPt2,MoPt2
103671,TmFe2,Laves(cub)#MgCu2
122867,Mg2Si,Fluorite#CaF2
611984,HoAu2,AlCr2#MoSi2
151889,HgBr2,HgBr2
108917,CdI2,CdI2(hP18)
43739,CrO2,Rutile#TiO2
651393,WS2,MoS2(3R)
641180,YIr2,Laves(cub)#MgCu2
257515,SiO2,Rutile#TiO2
49572,CdI2,CdI2(hP24)
633270,FeS2,Pyrite#FeS2(cP12)
246418,CrCl2,CaCl2
